section_id,start_line,end_line,heading,companies,confidence,note
S029,1309,1336,Tracy Contacts linked Leads,Pinnacle,high,Enrichment pipeline
S030,1337,1433,Tracy + Geo Carpentry website,Pinnacle;Geo,high,Enrichment + website
S031,1434,1504,Geo Carpentry website v2,Geo,high,WordPress Astra migration
S032,1505,1513,Make.com API Key,Pinnacle;InvestorOS,high,CONTIENE TOKEN
S033,1514,1535,REGLA CRITICA Pipeline Social,Pinnacle,high,Automation permanente
S034,1536,1567,REGLAS CRITICAS OPERACION,Pinnacle,high,Autonomia SM pipeline
S035,1568,1696,SESION Webform + Chatbot,Pinnacle,high,Public stack CONTIENE CREDENCIALES
S036,1697,1765,REGLAS PERMANENTES R1-R6,Pinnacle;Compartido,high,Permanent rules /GOD mode
S037,1766,1868,CIERRE SESION EMAIL POPUP,Pinnacle,high,Session closure popup
S038,1869,1945,Herramientas + PHASE 1->2,Pinnacle;InvestorOS,medium,Mobile-first tools
S039,1946,1971,2026-04-23 PM Claude Code,Compartido,medium,Meta setup skills
S040,1972,2024,PHASE 1->2 + Blotato removal,Pinnacle,high,Creativo Director refocus
S041,2025,2069,R7 MOBILE-FIRST PERMANENTE,Compartido,high,Universal rule
S042,2070,2132,Skills queue Phase 2,InvestorOS,medium,Agent development SaaS
S043,2133,2197,El Mercader + El Posicionador,InvestorOS,high,Sub-agents R9
S044,2198,2273,El Posicionador + El Escriba,InvestorOS,high,Sub-agent architecture
S045,2274,2316,El Escriba v1 DRAFT,InvestorOS,high,Jerarquia agentes
S046,2317,2410,Maps + Cartografo + MCP,InvestorOS;Pinnacle,medium,GBP API development
S047,2411,2481,El Remitente v1 SHIPPED,InvestorOS,high,Email agent Airtable
S048,2482,2537,Popup + El Cazador,Pinnacle;InvestorOS,high,R9 production
S049,2538,2604,Jorge aprueba 4 agentes GAP,InvestorOS,high,SPRINT 2 BUILD
S050,2605,2666,SPRINT 2 4 agents shipped,InvestorOS,high,Production deployment
S051,2667,2696,Reloj suizo follow-up,Pinnacle,medium,CRM pipeline debugging
S052,2697,2753,EL SUPERVISOR auto-evolutivo,InvestorOS;Compartido,high,Self-evolving system
S053,2754,2846,Unlocks PC + Remitente v2,InvestorOS,medium,Automation refinements
S054,2847,2887,NotebookLM skill,Compartido,high,Shared infrastructure
S055,2888,2920,gstack instalado,Compartido,medium,Developer tool
S056,2921,2954,R10 CREATIVO DIRECTOR PUPPETEER,Pinnacle;InvestorOS,high,Rendering rule
S057,2955,2987,R9 SUB-AGENTES DEDICADOS,InvestorOS;Compartido,high,Domain-specific architecture
S058,2988,3031,R8 SAAS-READY MULTI-TENANT,InvestorOS,high,Core principle
S059,3032,3066,Fix spam Supervisor,InvestorOS,high,Phase 1 learning
S060,3067,3125,FASE 2 SUPERVISOR LLM,InvestorOS,high,Diagnosis + confidence
S061,3126,3200,FASE 2 + Stats,InvestorOS,high,Baseline estadisticas
S062,3201,3222,GHA runs cada 3 dias,InvestorOS;Pinnacle,high,Cost optimization
S063,3223,3316,FASE 3 SUPERVISOR Auto-fix,InvestorOS,high,Verification + rollback
S064,3317,3405,FASE 4 SUPERVISOR Self-Mod,InvestorOS,high,Proposal mechanism
S065,3406,3511,SESION Telegram GHA bridges,Pinnacle;InvestorOS,high,Major session bridges
S066,3512,3524,Lecciones aprendidas,Pinnacle,medium,Regression prevention
S067,3525,3601,DECISIONES MAYORES INVESTOROS,InvestorOS;Pinnacle,high,InvestorOS launch R9
S068,3602,3634,REGLA R10 R11 R12,Compartido,high,Universal rules proactive
S069,3635,3689,Sprint A12+A14+A13,Pinnacle,high,Video pipeline 100%
S070,3690,3827,VISION ARQUITECTONICA INVESTOROS,InvestorOS,high,8 phases 6 tenants
S071,3828,3851,Incident Quo SMS FAIL,InvestorOS;Pinnacle,high,Production incident
S072,3852,3950,CREDENCIALES INVESTOROS,InvestorOS,high,CONTIENE TOKEN - sanitizar
S073,3951,3998,CREDENCIALES repetidas x2,InvestorOS,high,CONTIENE TOKEN duplicate
